character,cast
"Admetus/Plato",Steven Wayne
Alonzo,Roland Alexander
"Asparagus (Gus)",Stephen Tate
"Bill Bailey/Tumblebrutus",Peter Barry
Bombalurina,Geraldine Gardner
Bustopher Jones,Brian Blessed
Carbucketty,Luke Baxter
Cassandra,Seeta Indrani
Coricopat,Donald Waugh
Demeter,Sharon Lee-Hill
Electra,Anita Pashley
Etcetera,Julie Edmett
"George/Pouncival",John Chester
Griddlebone,Susan Jane Tanner
Grizabella,Elaine Paige
Growltiger,Stephen Tate
Jellylorum,Susan Jane Tanner
Jemima/Sillabub,Sarah Brightman
Jennyanydots,Myra Sands
Macavity,John Thornton
"Mr. Mistoffelees",Wayne Sleep
Mungojerrie,John Thornton
Munkustrap,Jeff Shankley
Old Deuteronomy,Brian Blessed
Rum Tum Tugger,Paul Nicholas
Rumpleteazer,Bonnie Langford
Rumpus Cat,Roland Alexander
Skimbleshanks,Kenn Wells
Tantomile,Femi Taylor
Victoria,Finola Hughes
