director,director-url
Léonide Massine,https://en.wikipedia.org/wiki/L%C3%A9onide_Massine
Jean Coralli,https://en.wikipedia.org/wiki/Jean_Coralli
Sergei Diaghilev,https://en.wikipedia.org/wiki/Sergei_Diaghilev
Ernest Ansermet,https://en.wikipedia.org/wiki/Ernest_Ansermet
Marius Petipa,https://en.wikipedia.org/wiki/Marius_Petipa
Sergei Prokofiev,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Pyotr Ilyich Tchaikovsky,https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky
Igor Stravinsky,https://en.wikipedia.org/wiki/Igor_Stravinsky

Mackintosh and Andrew Lloyd Webber's Really Useful Group,https://en.wikipedia.org/wiki/Really_Useful_Group
Pietro Mascagni,https://www.britannica.com/biography/Pietro-Mascagni
Charles Gounod,https://www.britannica.com/biography/Charles-Gounod
Giacomo Puccini,https://www.britannica.com/biography/Giacomo-Puccini
Robert Hossein,https://en.wikipedia.org/wiki/Robert_Hossein
Phyllida Lloyd,https://en.wikipedia.org/wiki/Phyllida_Lloyd
Julie Taymor,https://www.britannica.com/biography/Julie-Taymor
Andrew Lloyd Webber,https://www.britannica.com/biography/Andrew-Lloyd-Webber-Baron-Lloyd-Webber-of-Sydmonton
Richard Wagner,https://www.britannica.com/biography/Richard-Wagner-German-composer

